Netzbereich,Netznutzung AP (Cent/kWh),Netzverlust (Cent/kWh),Summe (Cent/kWh),Summe (EUR/kWh)
Vorarlberg,"4,96","0,393","5,353","0,05353"
Graz,"5,17","0,658","5,828","0,05828"
Linz,"5,57","0,487","6,057","0,06057"
Oberösterreich,"6,29","0,528","6,818","0,06818"
Salzburg,"6,59","0,357","6,947","0,06947"
Tirol,"6,81","0,293","7,103","0,07103"
Klagenfurt,"6,90","0,578","7,478","0,07478"
Wien,"6,98","0,700","7,680","0,07680"
Innsbruck,"8,03","0,453","8,483","0,08483"
Burgenland,"8,46","0,000","8,460","0,08460"
Steiermark,"8,82","0,336","9,156","0,09156"
Niederösterreich,"8,79","0,384","9,174","0,09174"
Kärnten,"9,67","0,368","10,038","0,10038"
Kleinwalsertal,"17,73","0,401","18,131","0,18131"
